run_accession	experiment_alias	experiment_title	fastq_ftp	fastq_md5	fastq_bytes	submitted_ftp
SRR10471259	GSM4164049	Illumina NovaSeq 6000 sequencing: GSM4164049: 190305_mCTseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_G9_AD002_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/059/SRR10471259/SRR10471259_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/059/SRR10471259/SRR10471259_2.fastq.gz	d04ef14d21e52c17b00f4718e53d3290;6fd1381157dad710369c30fc176e25bc	133776987;143692709	
SRR10471563	GSM4167995	Illumina HiSeq 4000 sequencing: GSM4167995: 170508_NDARKD326LNK_hs_58yr_BA10_pool_1965_AD010_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/063/SRR10471563/SRR10471563_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/063/SRR10471563/SRR10471563_2.fastq.gz	ba82ccbf6397e04a01ea7477dbd22223;fd7e5e0e8e7fadfdef8ec97dda5e3030	149683124;164535288	
SRR10472744	GSM4166512	Illumina NovaSeq 6000 sequencing: GSM4166512: 190321_mCTseq_hs_29yr_BA10_UMB5580_3_UMB5580_4_B8_AD001_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/044/SRR10472744/SRR10472744_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/044/SRR10472744/SRR10472744_2.fastq.gz	52ded93db1072c84c2738253fc7fb001;fa5893f009fb4708f3251a76a4d46ccb	103938075;114265836	
SRR10471260	GSM4164050	Illumina NovaSeq 6000 sequencing: GSM4164050: 190305_mCTseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_G9_AD004_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/060/SRR10471260/SRR10471260_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/060/SRR10471260/SRR10471260_2.fastq.gz	296c4c8b877b035ec62a0937c23fa6b2;947d53b293c09e02de32bf3dc364eec0	184817744;196237184	
SRR10471567	GSM4169203	Illumina HiSeq 4000 sequencing: GSM4169203: 170606_NDARKD326LNK_hs_58yr_BA10_pool_2077_AD002_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/067/SRR10471567/SRR10471567_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/067/SRR10471567/SRR10471567_2.fastq.gz	bc05971980017cf86be5730d9bb1c3d0;d45ef4cb3ec23ce55b6b5ab91d0161d3	310165233;338868049	
SRR10472745	GSM4166513	Illumina NovaSeq 6000 sequencing: GSM4166513: 190321_mCTseq_hs_29yr_BA10_UMB5580_3_UMB5580_4_B8_AD002_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/045/SRR10472745/SRR10472745_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/045/SRR10472745/SRR10472745_2.fastq.gz	af404641c4b11d25e997fd1bde323cba;bd7fcaacbca3696b9de699069629641f	146408907;159585172	
SRR10471581	GSM4169217	Illumina HiSeq 4000 sequencing: GSM4169217: 170606_NDARKD326LNK_hs_58yr_BA10_pool_2082_AD006_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/081/SRR10471581/SRR10471581_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/081/SRR10471581/SRR10471581_2.fastq.gz	d461ffa82511dfa7c070f8851eabfe7d;c61bba3ffcac62f5a7c968946e82ec3a	688852773;737774662	
SRR10472748	GSM4166516	Illumina NovaSeq 6000 sequencing: GSM4166516: 190321_mCTseq_hs_29yr_BA10_UMB5580_3_UMB5580_4_B8_AD007_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/048/SRR10472748/SRR10472748_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/048/SRR10472748/SRR10472748_2.fastq.gz	f7816cb39ab38ce9bc434a518e854c0c;c0750f40c42bc740f189c53cead3cc7d	111028371;121164322	
SRR10471262	GSM4164052	Illumina NovaSeq 6000 sequencing: GSM4164052: 190305_mCTseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_G9_AD007_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/062/SRR10471262/SRR10471262_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/062/SRR10471262/SRR10471262_2.fastq.gz	af763fc8c594078bd53c6a5cf86eb9f5;e11cb647aeb106011793f7cc80e2fd58	135681577;146104695	
SRR10472751	GSM4166519	Illumina NovaSeq 6000 sequencing: GSM4166519: 190321_mCTseq_hs_29yr_BA10_UMB5580_3_UMB5580_4_B8_AD012_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/051/SRR10472751/SRR10472751_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/051/SRR10472751/SRR10472751_2.fastq.gz	13b46dc5df095b2d457715aac0acd0ab;2954584754b125ba3baeb103066ffdae	121770881;131619301	
SRR10471584	GSM4169220	Illumina HiSeq 4000 sequencing: GSM4169220: 170606_NDARKD326LNK_hs_58yr_BA10_pool_2083_AD002_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/084/SRR10471584/SRR10471584_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/084/SRR10471584/SRR10471584_2.fastq.gz	6495153285a51dfa16ccfb42eec4c3aa;c6fcd11f58e0da77dcb81d23db9e4971	167901049;181401645	
SRR10472753	GSM4166521	Illumina NovaSeq 6000 sequencing: GSM4166521: 190321_mCTseq_hs_29yr_BA10_UMB5580_3_UMB5580_4_B9_AD002_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/053/SRR10472753/SRR10472753_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/053/SRR10472753/SRR10472753_2.fastq.gz	4e75dad68b2749a7296927ffc6307403;b7576e790d87a94f594a6d065a338cc1	155294977;168234882	
SRR10471585	GSM4169221	Illumina HiSeq 4000 sequencing: GSM4169221: 170606_NDARKD326LNK_hs_58yr_BA10_pool_2083_AD006_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/085/SRR10471585/SRR10471585_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/085/SRR10471585/SRR10471585_2.fastq.gz	d9c3798a74ef662eee60f9d586a7e4db;d817414fff6a7f38cb31924d436a14be	234972235;250920958	
SRR10472755	GSM4166523	Illumina NovaSeq 6000 sequencing: GSM4166523: 190321_mCTseq_hs_29yr_BA10_UMB5580_3_UMB5580_4_B9_AD006_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/055/SRR10472755/SRR10472755_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/055/SRR10472755/SRR10472755_2.fastq.gz	446af48bc3b7c4487657b3d805adf9ac;56af6fa29e54bca80c8a728b926cc9ca	190214149;206152753	
SRR10472761	GSM4166529	Illumina NovaSeq 6000 sequencing: GSM4166529: 190321_mCTseq_hs_29yr_BA10_UMB5580_3_UMB5580_4_C10_AD002_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/061/SRR10472761/SRR10472761_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/061/SRR10472761/SRR10472761_2.fastq.gz	4f416759b4c4f6ef5f7e47a68329c2f1;fae4716cbee538a020144758604015a0	154991207;168503001	
SRR10471590	GSM4169226	Illumina HiSeq 4000 sequencing: GSM4169226: 170606_NDARKD326LNK_hs_58yr_BA10_pool_2086_AD008_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/090/SRR10471590/SRR10471590_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/090/SRR10471590/SRR10471590_2.fastq.gz	5912c094e930d6c87ce85927cacb02b3;4a85ea79e364a0665847ec77ca9a2afd	236633668;250177787	
SRR10471265	GSM4164055	Illumina NovaSeq 6000 sequencing: GSM4164055: 190305_mCTseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_G9_AD012_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/065/SRR10471265/SRR10471265_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/065/SRR10471265/SRR10471265_2.fastq.gz	49dadfab4691cc99814527551a6fa4e5;c44e1e874dd78864762b6f797ff8f128	136018273;145889946	
