dataset	cell	uniq_preDedup	mapq30_preDedup	rate_preDedup	uniq_postDedup	mapq30_postDedup	rate_postDedup
droplethic	BC572593	306648	257022	83.81662362056821	306648	257022	83.81662362056821
droplethic	BC593491	251758	214102	85.04277917682855	251758	214102	85.04277917682855
droplethic	BC438265	263950	221670	83.98181473763971	263950	221670	83.98181473763971
droplethic	BC242373	212164	170204	80.22284647725344	212164	170204	80.22284647725344
droplethic	BC159975	271360	229052	84.4089033018868	271360	229052	84.4089033018868
droplethic	BC654100	368292	320686	87.0738435806371	368292	320686	87.0738435806371
droplethic	BC94506	178994	151028	84.37601260377443	178994	151028	84.37601260377443
droplethic	BC583052	229072	197740	86.3222043724244	229072	197740	86.3222043724244
droplethic	BC475667	373668	307660	82.33512101651733	373668	307660	82.33512101651733
droplethic	BC610337	296754	242434	81.69527622205598	296754	242434	81.69527622205598
