,Dataset,R1InputReads,R1InputReadsBP,R1WithAdapters,R1QualTrimBP,R1TrimmedReads,R1TrimmedReadsBP,R1TrimmedReadsRate,R1UniqueMappedReads,R1UniqueMappedReadsMapQ30,R1DeduppedReads,R1DeduppedReadsMapQ30,R2InputReads,R2InputReadsBP,R2WithAdapters,R2QualTrimBP,R2TrimmedReads,R2TrimmedReadsBP,R2TrimmedReadsRate,R2UniqueMappedReads,R2UniqueMappedReadsMapQ30,R2DeduppedReads,R2DeduppedReadsMapQ30,CisShortContact,CisLongContact,TransContact,mCHmC,mCHCov,mCHFrac,mCGmC,mCGCov,mCGFrac,mCCCmC,mCCCCov,mCCCFrac,GenomeCov,LambdaCYCov,LambdaCYFrac,FinalmCReads,CellInputReadPairs,R1MappingRate,R2MappingRate,R1DuplicationRate,R2DuplicationRate,R1MappingRateMapQ30,R2MappingRateMapQ30,TotalContacts,CisShortRatio,CisLongRatio,TransRatio
sc_13_CKDL200165520-1a-D702-AK1543_HF2L3CCX2_L7,methylhic_new,849966.0,127494900.0,150235.0,613249.0,735545.0,96879456.0,0.865381674090493,3553.0,3469.0,2190.0,2134.0,849966.0,127494900.0,122365.0,7956446.0,750228.0,94785218.0,0.8826564827298974,2041.0,2005.0,1747.0,1717.0,136.0,3.0,73.0,1160.0,38124.0,0.0304270275941664,436.0,1782.0,0.244668911335578,125.0,3917.0,0.0319121776870053,5.559287017626189e-05,0.0,0.0,3937.0,849966.0,0.483043185665051,0.272050629941831,38.36194764987335,14.404703576678102,0.4716230822043518,0.267252088698369,212.0,0.6415094339622641,0.0141509433962264,0.3443396226415094
sc_31_CKDL200165520-1a-D704-AK1545_HF2L3CCX2_L7,methylhic_new,69305.0,10395750.0,30095.0,100424.0,44376.0,5557330.0,0.6403001226462737,162.0,160.0,153.0,151.0,69305.0,10395750.0,18793.0,1584453.0,52772.0,5573600.0,0.7614457831325301,32.0,32.0,32.0,32.0,2.0,0.0,2.0,88.0,1669.0,0.0527261833433193,14.0,64.0,0.21875,10.0,117.0,0.0854700854700854,2.823640448231459e-06,0.0,0.0,185.0,69305.0,0.3650621957815035,0.0606382172364132,5.555555555555558,0.0,0.360555255092843,0.0606382172364132,4.0,0.5,0.0,0.5
sc_21_CKDL200165520-1a-DY0088-AK1543_HF2L3CCX2_L7,methylhic_new,1248382.0,187257300.0,259472.0,953217.0,1054500.0,137949368.0,0.8446933710995512,4221.0,4145.0,2893.0,2838.0,1248382.0,187257300.0,177940.0,14443715.0,1110169.0,137203250.0,0.8892862921765934,1996.0,1969.0,1760.0,1739.0,188.0,1.0,73.0,1762.0,45516.0,0.0387116618332015,522.0,2215.0,0.2356659142212189,192.0,4824.0,0.0398009950248756,6.567902664184188e-05,0.0,0.0,4653.0,1248382.0,0.400284495021337,0.1797924460149761,31.46173892442549,11.82364729458918,0.3930772878141299,0.1773603838694829,262.0,0.7175572519083969,0.0038167938931297,0.2786259541984733
sc_71_CKDL200165520-1a-D709-AK1545_HF2L3CCX2_L7,methylhic_new,187129.0,28069350.0,15766.0,135843.0,177876.0,23592975.0,0.9505528271940746,967.0,950.0,722.0,706.0,187129.0,28069350.0,16202.0,1548537.0,175387.0,22510927.0,0.937251842311988,443.0,435.0,404.0,397.0,48.0,2.0,15.0,255.0,11350.0,0.0224669603524229,177.0,593.0,0.2984822934232715,29.0,1125.0,0.0257777777777777,1.625415020309921e-05,0.0,0.0,1126.0,187129.0,0.5436371404798849,0.2525842850382297,25.33609100310238,8.803611738148987,0.5340799208437338,0.2480229435476973,65.0,0.7384615384615385,0.0307692307692307,0.2307692307692307
sc_42_CKDL200165520-1a-D706-AK1681_HF2L3CCX2_L7,methylhic_new,283798.0,42569700.0,83623.0,361495.0,219947.0,28162009.0,0.7750125088971733,784.0,772.0,706.0,694.0,283798.0,42569700.0,39528.0,6042305.0,253588.0,28503647.0,0.8935510468713662,223.0,221.0,216.0,214.0,14.0,0.0,12.0,368.0,8384.0,0.0438931297709923,77.0,368.0,0.2092391304347826,48.0,785.0,0.0611464968152866,1.368427487361038e-05,0.0,0.0,922.0,283798.0,0.3564495082906336,0.0879379150432985,9.948979591836736,3.139013452914796,0.3509936484698586,0.0871492341908923,26.0,0.5384615384615384,0.0,0.4615384615384615
sc_55_CKDL200165520-1a-D707-AK1545_HF2L3CCX2_L7,methylhic_new,73958.0,11093700.0,9158.0,55175.0,67606.0,8927917.0,0.9141134157224372,199.0,190.0,165.0,157.0,73958.0,11093700.0,7756.0,733535.0,67983.0,8564524.0,0.9192109034857622,113.0,110.0,106.0,103.0,7.0,1.0,2.0,52.0,2773.0,0.0187522538766678,52.0,170.0,0.3058823529411765,2.0,242.0,0.0082644628099173,4.337442758306527e-06,0.0,0.0,271.0,73958.0,0.2943525722569002,0.1662180250945089,17.085427135678387,6.194690265486724,0.2810401443658847,0.1618051571716458,10.0,0.7,0.1,0.2
sc_94_CKDL200165520-1a-D712-AK1544_HF2L3CCX2_L7,methylhic_new,17380.0,2607000.0,5504.0,19321.0,13130.0,1671015.0,0.7554660529344074,41.0,40.0,40.0,39.0,17380.0,2607000.0,4255.0,268918.0,13979.0,1601187.0,0.8043153049482163,20.0,19.0,17.0,16.0,1.0,0.0,0.0,29.0,461.0,0.0629067245119305,2.0,11.0,0.1818181818181818,1.0,53.0,0.0188679245283018,8.283069243806978e-07,0.0,0.0,57.0,17380.0,0.3122619954303123,0.1430717504828671,2.4390243902439046,15.000000000000002,0.3046458492003046,0.1359181629587238,1.0,1.0,0.0,0.0
sc_53_CKDL200165520-1a-D707-AK1543_HF2L3CCX2_L7,methylhic_new,1179932.0,176989800.0,257506.0,624379.0,992392.0,129567315.0,0.8410586372774024,2353.0,2300.0,1416.0,1379.0,1179932.0,176989800.0,208518.0,9919117.0,1020986.0,128296466.0,0.8652922371797697,1437.0,1413.0,1229.0,1210.0,77.0,4.0,54.0,5168.0,23800.0,0.2171428571428571,375.0,1015.0,0.3694581280788177,361.0,2372.0,0.1521922428330522,3.706948124178019e-05,0.0,0.0,2645.0,1179932.0,0.2371038863674838,0.140746298186263,39.82150446238843,14.474599860821158,0.2317632548428443,0.1383956293230269,135.0,0.5703703703703704,0.0296296296296296,0.4
sc_23_CKDL200165520-1a-DY0088-AK1545_HF2L3CCX2_L7,methylhic_new,173461.0,26019150.0,15729.0,143876.0,163503.0,21667590.0,0.9425922829915658,675.0,663.0,551.0,540.0,173461.0,26019150.0,13869.0,1751075.0,162953.0,20657655.0,0.939421541441592,380.0,376.0,359.0,355.0,34.0,0.0,9.0,323.0,8952.0,0.0360813226094727,112.0,527.0,0.2125237191650854,29.0,852.0,0.034037558685446,1.349605658929045e-05,0.0,0.0,910.0,173461.0,0.4128364617162988,0.2331960749418543,18.37037037037037,5.52631578947368,0.4054971468413423,0.2307413794161507,43.0,0.7906976744186046,0.0,0.2093023255813953
sc_2_CKDL200165520-1a-D701-AK1681_HF2L3CCX2_L7,methylhic_new,241924.0,36288600.0,70109.0,343919.0,188134.0,24117531.0,0.7776574461401101,776.0,763.0,689.0,676.0,241924.0,36288600.0,30599.0,5521504.0,217869.0,24329635.0,0.9005679469585489,173.0,172.0,167.0,166.0,17.0,1.0,11.0,318.0,8330.0,0.0381752701080432,120.0,366.0,0.3278688524590163,38.0,798.0,0.0476190476190476,1.2552401883663104e-05,0.0,0.0,856.0,241924.0,0.4124719614742683,0.079405514322827,11.211340206185572,3.4682080924855474,0.4055619930475087,0.0789465229105563,29.0,0.5862068965517241,0.0344827586206896,0.3793103448275862
sc_84_CKDL200165520-1a-D711-AK1780_HF2L3CCX2_L7,methylhic_new,958185.0,143727750.0,300013.0,537308.0,734668.0,94169066.0,0.7667287632346572,1411.0,1371.0,1028.0,1000.0,958185.0,143727750.0,233054.0,8869254.0,784052.0,95781100.0,0.8182678710269937,779.0,763.0,712.0,697.0,76.0,1.0,18.0,1167.0,15918.0,0.0733132303053147,241.0,766.0,0.314621409921671,168.0,1720.0,0.0976744186046511,2.480709663668009e-05,0.0,0.0,1740.0,958185.0,0.1920595425416651,0.0993556549820675,27.143869596031177,8.600770218228494,0.1866149063250338,0.097314974006826,95.0,0.8,0.0105263157894736,0.1894736842105263
sc_46_CKDL200165520-1a-D706-AK1544_HF2L3CCX2_L7,methylhic_new,45166.0,6774900.0,6342.0,35855.0,40966.0,5395790.0,0.9070096975601116,94.0,92.0,81.0,79.0,45166.0,6774900.0,5274.0,442717.0,41642.0,5194623.0,0.9219767081432936,47.0,47.0,45.0,45.0,7.0,0.0,1.0,20.0,1304.0,0.0153374233128834,24.0,66.0,0.3636363636363636,4.0,159.0,0.0251572327044025,2.069668760654157e-06,0.0,0.0,126.0,45166.0,0.2294585754039935,0.1128668171557562,13.829787234042556,4.255319148936165,0.2245764780549724,0.1128668171557562,8.0,0.875,0.0,0.125
sc_27_CKDL200165520-1a-D704-AK1682_HF2L3CCX2_L7,methylhic_new,103119.0,15467850.0,23191.0,305631.0,86789.0,11092060.0,0.8416392711333508,560.0,551.0,487.0,478.0,103119.0,15467850.0,14146.0,3219936.0,91657.0,9282461.0,0.8888468662419147,50.0,50.0,50.0,50.0,7.0,0.0,5.0,163.0,5210.0,0.0312859884836852,60.0,231.0,0.2597402597402597,18.0,522.0,0.0344827586206896,8.152707941826639e-06,0.0,0.0,537.0,103119.0,0.6452430607565475,0.0545512072182157,13.035714285714285,0.0,0.6348730829943886,0.0545512072182157,12.0,0.5833333333333334,0.0,0.4166666666666667
sc_29_CKDL200165520-1a-D704-AK1543_HF2L3CCX2_L7,methylhic_new,924046.0,138606900.0,543218.0,1119480.0,458176.0,55026781.0,0.4958367873460845,1372.0,1346.0,993.0,969.0,924046.0,138606900.0,307946.0,20295484.0,652373.0,67142792.0,0.7059962382825098,351.0,350.0,330.0,329.0,26.0,2.0,17.0,1583.0,11898.0,0.1330475710203395,169.0,508.0,0.3326771653543307,231.0,1209.0,0.1910669975186104,1.910232494131012e-05,0.0,0.0,1323.0,924046.0,0.2994482469618661,0.0538035755618334,27.62390670553936,5.982905982905984,0.293773571727895,0.0536502890217712,45.0,0.5777777777777777,0.0444444444444444,0.3777777777777777
sc_25_CKDL200165520-1a-D704-AK1680_HF2L3CCX2_L7,methylhic_new,81710.0,12256500.0,31599.0,158104.0,55821.0,7003686.0,0.6831599559417452,152.0,147.0,145.0,140.0,81710.0,12256500.0,6208.0,2847153.0,76432.0,7697042.0,0.9354057030963162,26.0,26.0,25.0,25.0,2.0,1.0,3.0,132.0,1574.0,0.0838627700127064,20.0,110.0,0.1818181818181818,13.0,177.0,0.0734463276836158,2.604662755579091e-06,0.0,0.0,170.0,81710.0,0.2722989555901901,0.0340171655850952,4.605263157894735,3.846153846153844,0.2633417531036707,0.0340171655850952,6.0,0.3333333333333333,0.1666666666666666,0.5
sc_3_CKDL200165520-1a-D701-AK1682_HF2L3CCX2_L7,methylhic_new,84433.0,12664950.0,18087.0,89944.0,71872.0,9322995.0,0.8512311536958298,370.0,364.0,330.0,324.0,84433.0,12664950.0,15955.0,996839.0,72461.0,8796649.0,0.8582070991200124,134.0,132.0,129.0,127.0,12.0,0.0,7.0,116.0,4324.0,0.0268270120259019,50.0,232.0,0.2155172413793103,12.0,409.0,0.0293398533007334,7.174265810109032e-06,0.0,0.0,459.0,84433.0,0.5148040961709707,0.1849270642138529,10.81081081081081,3.731343283582089,0.5064559216384684,0.1821669587778253,19.0,0.631578947368421,0.0,0.3684210526315789
sc_77_CKDL200165520-1a-D710-AK1543_HF2L3CCX2_L7,methylhic_new,638161.0,95724150.0,168568.0,550702.0,508553.0,65834493.0,0.7969039160964083,1914.0,1873.0,1508.0,1473.0,638161.0,95724150.0,78226.0,9760944.0,577299.0,69445994.0,0.9046290826296184,948.0,935.0,879.0,867.0,87.0,0.0,36.0,984.0,23343.0,0.0421539647860172,325.0,1187.0,0.2737994945240101,143.0,2271.0,0.0629678555702333,3.454098464016714e-05,0.0,0.0,2387.0,638161.0,0.3763619524415351,0.1642129988099754,21.21212121212121,7.278481012658233,0.3682998625511992,0.161961132792539,123.0,0.7073170731707317,0.0,0.2926829268292683
