,Dataset,R1InputReads,R1InputReadsBP,R1WithAdapters,R1QualTrimBP,R1TrimmedReads,R1TrimmedReadsBP,R1TrimmedReadsRate,R1UniqueMappedReads,R1UniqueMappedReadsMapQ30,R1DeduppedReads,R1DeduppedReadsMapQ30,R2InputReads,R2InputReadsBP,R2WithAdapters,R2QualTrimBP,R2TrimmedReads,R2TrimmedReadsBP,R2TrimmedReadsRate,R2UniqueMappedReads,R2UniqueMappedReadsMapQ30,R2DeduppedReads,R2DeduppedReadsMapQ30,CisShortContact,CisLongContact,TransContact,mCHmC,mCHCov,mCHFrac,mCGmC,mCGCov,mCGFrac,mCCCmC,mCCCCov,mCCCFrac,GenomeCov,LambdaCYCov,LambdaCYFrac,FinalmCReads,CellInputReadPairs,R1MappingRate,R2MappingRate,R1DuplicationRate,R2DuplicationRate,R1MappingRateMapQ30,R2MappingRateMapQ30,TotalContacts,CisShortRatio,CisLongRatio,TransRatio
SRR21549380,snm3C-seq,1372508,194339972,1485,373485,1341594,166168402,0.9774762697193752,1026983,927721,806239,732047,1372508,202611883,18562,373661,1342407,174210612,0.9780686159934951,947686,835123,743187,658483,660852,9479,9857,817761,33933480,0.0240989429908161,1090797,1400180,0.7790405519290377,15379,2310335,0.0066566104049845,0.0591558195950653,0,0,1549426,1372508,76.54946280320276,70.59602639139993,21.4944161685247,21.5787718716959,69.15065213469947,62.21086451426431,680188,0.9715725652319652,0.0139358530288684,0.0144915817391662
SRR21549349,snm3C-seq,1512129,216399783,1435,401224,1499350,185598020,0.9915490014410148,1134958,1017517,856655,771205,1512129,225520390,20637,393554,1500226,194609760,0.9921283170946394,1053210,923581,791480,697812,706740,9010,11025,583782,36036794,0.0161996097655079,1104517,1490496,0.7410398954442011,13294,2458622,0.0054070938924324,0.0618915822446081,0,0,1648135,1512129,75.69666855637442,70.20342268431557,24.52099549058203,24.85069454334843,67.86387434554973,61.56279120612494,726775,0.9724330088404252,0.0123972343572632,0.0151697568023115
SRR21549375,snm3C-seq,1986656,284832395,2018,494152,1975118,244445132,0.994192250696648,1517794,1364798,1093559,986245,1986656,296826131,26578,505521,1976104,256305948,0.9946885620862392,1397765,1222159,1003747,882930,907740,13395,13609,1032973,45574796,0.0226654442951318,1435531,1875718,0.7653234654676236,19902,3116645,0.0063857128418539,0.077367940527844,0,0,2097306,1986656,76.84573782427177,70.73337233263027,27.950762751730476,28.189144813326998,69.09956772202978,61.84689672203487,934744,0.9711108068091372,0.0143301267512816,0.0145590664395813
SRR21549379,snm3C-seq,1098988,155373366,1414,315755,1073349,132794554,0.976670354908334,827644,756341,655845,601401,1098988,161948067,15383,301405,1073803,139151723,0.977083462239806,746358,659395,591009,524894,531884,7032,7734,814654,27377137,0.0297567273013244,906708,1146484,0.7908597067207218,13887,1882895,0.0073753448811537,0.0477639577375484,0,0,1246854,1098988,77.10856394332133,69.50604533606257,20.757596261194426,20.814274115102936,70.46552426098128,61.40744624479537,546650,0.9729882008597824,0.0128638068233787,0.0141479923168389
SRR21549390,snm3C-seq,492695,69832727,510,108225,482954,59759691,0.98022914785009,288297,256410,190678,171521,492695,72821990,6225,120843,483290,62667158,0.980911111336628,263404,228379,174968,153146,156797,2994,4611,169357,7705697,0.0219781546043141,232257,293869,0.7903419550888321,3144,494095,0.0063631487871765,0.0135602115604861,0,0,365646,492695,59.69450506673514,54.50226572037493,33.860567400978844,33.574281332098224,53.09201290392046,47.2550642471394,164402,0.9537414386686294,0.0182114572815415,0.028047104049829
SRR21549308,snm3C-seq,4105098,582386433,4678,1164011,4026115,498236773,0.9807597772330892,3043360,2739455,1838143,1658510,4105098,607020378,56317,1060652,4027404,522304454,0.9810737770450304,2788987,2434895,1656880,1461146,1598855,19845,26068,2272664,76433539,0.029733858064586,2436813,3124920,0.7798001228831458,39967,5264071,0.0075924127923046,0.1246909822870357,0,0,3495023,4105098,75.59048859756862,69.2502415948338,39.60152594500816,40.59205008843713,68.04214484683125,60.45817603597752,1644768,0.9720854248137124,0.0120655314305725,0.015849043755715
SRR21549377,snm3C-seq,1784278,255779280,2042,474369,1774293,219481406,0.9944038989439986,1342018,1200778,970529,871313,1784278,266555119,23944,466111,1775284,230161762,0.9949593056687356,1240927,1083168,893444,784170,804687,10902,12288,1203489,40541205,0.0296855754534183,1290619,1648290,0.7830048110465998,19954,2767026,0.0072113525496327,0.069309004473236,0,0,1863973,1784278,75.63677476042571,69.9001962502901,27.681372380996383,28.00188891046774,67.67642097443883,61.01378708984028,827877,0.9719885925083074,0.0131686228751372,0.0148427846165553
SRR21549343,snm3C-seq,1483934,210959908,1341,404722,1458203,180590235,0.9826602800394088,1132806,1036537,859739,789041,1483934,219904867,19914,400409,1459019,189336068,0.9832101697245296,1033447,916702,781514,697644,710938,9290,9475,578413,36064749,0.0160381817713468,1120175,1521909,0.7360328377058024,14181,2478901,0.0057206802530637,0.061806675658291,0,0,1641253,1483934,77.68506853983979,70.83163413224914,24.10536314249748,24.377931330779425,71.08317566209918,62.83002483175339,729703,0.9742840580345702,0.0127312070801408,0.0129847348852889
SRR21549341,snm3C-seq,1807716,259384194,1739,478770,1796422,222609662,0.9937523372034104,1367010,1226507,977379,879378,1807716,270288715,24778,466872,1797250,233400011,0.9942103737533992,1259514,1100034,894278,786042,814403,11074,12518,993118,40958174,0.0242471258606401,1307873,1679072,0.7789260972727793,17823,2794190,0.0063785927227568,0.0700734270359777,0,0,1871657,1807716,76.09626245948891,70.08006676867437,28.502425000548648,28.998169135079088,68.27499329222199,61.20650994575045,837995,0.9718470873931228,0.0132148759837469,0.0149380366231302
SRR21549324,snm3C-seq,1380760,197261686,1445,374690,1365607,169093875,0.9890256090848518,1061146,970418,810065,743198,1380760,205585816,18573,387898,1366185,177256711,0.9894442191256988,954776,841773,728646,646551,664677,8826,9133,847826,33726260,0.0251384529443822,1058038,1425956,0.7419850261859412,15512,2319313,0.0066881874072192,0.0581324280808213,0,0,1538711,1380760,77.70507913330849,69.8862891921665,23.66130579580944,23.684089252348198,71.06129362254295,61.61486182325234,682636,0.9736916892751042,0.0129292917455276,0.0133790189793682
SRR21549354,snm3C-seq,1589388,225921006,1763,454193,1560265,193361743,0.9816765950164466,1177288,1066089,898943,818389,1589388,235496385,21781,418553,1560849,202740069,0.982044032042522,1083595,953143,822706,728616,747108,9437,11170,1112935,37953423,0.0293237055324364,1215320,1566585,0.7757766096317786,19791,2585056,0.0076559269895893,0.0659657002994824,0,0,1721649,1589388,75.45436191928935,69.42343557897016,23.64289791452898,24.07624619899501,68.3274315581007,61.065676436349705,767715,0.9731580078544771,0.0122923220205414,0.0145496701249812
SRR21549300,snm3C-seq,1754358,244223499,1381,467948,1680461,207884708,0.9578780385759348,1248537,1128106,871126,789314,1754358,254825696,23530,482845,1681530,217971755,0.95848737828881,1141595,1000541,789709,696845,728901,9268,11201,281409,36105432,0.0077940903739913,1024976,1450335,0.7067167240671983,12075,2436189,0.004956511994759,0.0615309823770583,0,0,1660835,1754358,74.29729104097031,67.89025470850952,30.228259154514447,30.824066328251263,67.1307456703845,59.50182274476221,749370,0.9726850554465752,0.0123677222199981,0.0149472223334267
SRR21549347,snm3C-seq,1689925,241528398,1732,431215,1672202,207087355,0.989512552332204,1273634,1149634,954118,864680,1689925,251709700,22787,418659,1673033,217127099,0.9900042901312188,1178268,1034957,880534,778020,789910,11468,12060,1084321,40208990,0.0269671284953936,1282568,1676279,0.7651280007683685,19431,2750150,0.0070654327945748,0.0688384177498917,0,0,1834652,1689925,76.16508053452873,70.4270627058761,25.08695590727006,25.26878435126814,68.7497084682353,61.86112288281224,813438,0.971075853353298,0.0140981857252796,0.0148259609214224
SRR21549315,snm3C-seq,3287602,470768918,2587,847949,3263718,403861275,0.9927351303472866,2491478,2230893,1577093,1414899,3287602,490620113,43996,890721,3265330,423429303,0.9932254573394224,2282303,1984982,1433423,1257385,1343718,18273,22639,689249,65270410,0.0105598999607938,1981338,2686785,0.7374382393827568,21026,4478985,0.0046943671389834,0.1070546196212579,0,0,3010516,3287602,76.33864200277107,69.89501826767892,36.7005046803544,37.19400973490373,68.35434311420289,60.789629225836286,1384630,0.9704527563320164,0.0131970273647111,0.0163502163032723
SRR21549303,snm3C-seq,2057944,294377094,2303,530498,2040106,252468620,0.9913321256555088,1542689,1380255,1068309,958731,2057944,306809311,28171,525048,2041240,264737775,0.9918831610578324,1421919,1237421,977999,856825,894141,11681,14338,1294194,44730724,0.0289329991618289,1454533,1827126,0.7960770083727121,22425,3073278,0.007296769117535,0.0756752488225761,0,0,2046308,2057944,75.61808062914378,69.65956967333582,30.750203054536595,31.219781154904048,67.65604336245273,60.62104407125081,920160,0.9717233959311424,0.0126945313858459,0.0155820726830116
SRR21549362,snm3C-seq,2040229,289087205,2062,547848,1996470,247253515,0.9785519174563247,1506737,1351397,1074525,967415,2040229,301396246,28140,544020,1997542,259228759,0.9790773486701738,1391489,1217704,987226,869635,897925,12695,14313,894500,45024486,0.0198669674985295,1395875,1856964,0.7516973942413531,17888,3062929,0.0058401614924799,0.0768205750256511,0,0,2061751,2040229,75.47005464645099,69.66006221646404,28.68529809781004,29.052547307237063,67.68932165271706,60.96011998746459,924933,0.9708000471385496,0.0137253184825279,0.0154746343789225
SRR21549317,snm3C-seq,3390376,486101996,2874,931453,3370217,417095424,0.9940540518219808,2559161,2285893,1620466,1450960,3390376,506576887,46105,942691,3371930,437334683,0.9945593055165562,2345932,2040744,1471886,1291629,1380213,18654,23602,799024,67076749,0.0119120859599203,2002002,2744240,0.7295287584176311,22956,4598802,0.0049917348039772,0.1102160822289856,0,0,3092352,3390376,75.93460599124626,69.57238139581783,36.67979466708034,37.257942685465736,67.82628536975513,60.521541075882354,1422469,0.970293904471732,0.0131138182976219,0.0165922772306461
SRR21549346,snm3C-seq,1876304,264436713,2067,502491,1824285,225847729,0.9722758145801532,1378192,1250044,1037590,945069,1876304,275766568,24928,496313,1825424,236824579,0.9728828590676136,1268235,1117453,950406,842602,863338,10589,12775,1136847,43883362,0.0259061053708692,1380938,1817814,0.7596695811562679,21877,3007508,0.0072741286141217,0.0750181571871927,0,0,1987996,1876304,75.54696771611891,69.47618745014856,24.71368285405807,25.06073401222959,68.52240740893008,61.21607911367442,886702,0.9736506740708828,0.011942005318585,0.014407320610532
SRR21549316,snm3C-seq,3019301,423959290,2570,847076,2926005,361763696,0.969100132779077,2251933,2029278,1438080,1297452,3019301,442232776,40347,881202,2928378,379321468,0.9698860762805696,2038752,1777839,1289796,1134779,1218972,15035,19588,415705,59235424,0.0070178445924519,1780448,2450059,0.7266959693623705,18696,4078325,0.0045842349493971,0.0976712852428493,0,0,2727876,3019301,76.96271879234656,69.62052030168236,36.14019600050268,36.736003201958844,69.35319659399079,60.710707429163854,1253595,0.9723810321515322,0.0119935066748032,0.0156254611736645
SRR21549369,snm3C-seq,1808008,259227327,1583,454540,1796383,222459414,0.9935702718129564,1374924,1239147,1034974,936505,1808008,270138069,24249,489045,1797173,233208669,0.9940072167822266,1264760,1107603,950691,837553,851326,12304,13215,752300,43216040,0.0174078883673747,1341826,1775587,0.7557083939001581,16366,2932063,0.0055817354538425,0.0742571628337464,0,0,1985665,1808008,76.53846646288682,70.37497224808074,24.725002981983003,24.83230019924729,68.98011170223721,61.63029380031861,876845,0.9708967947584808,0.0140321265446002,0.015071078696919
