Metric,MethylHiC_N,MethylHiC_Median,MethylHiC_Mean,MethylHiC_Std,MethylHiC_Min,MethylHiC_Max,snm3C-seq3_N,snm3C-seq3_Median,snm3C-seq3_Mean,snm3C-seq3_Std,snm3C-seq3_Min,snm3C-seq3_Max,methylhic_new_N,methylhic_new_Median,methylhic_new_Mean,methylhic_new_Std,methylhic_new_Min,methylhic_new_Max,scnomehic_N,scnomehic_Median,scnomehic_Mean,scnomehic_Std,scnomehic_Min,scnomehic_Max
R1TrimmedReads,59,9235146.0,11026875.152542373,8504990.38274867,2685.0,32559220.0,100,1703016.0,1768837.05,820006.2263822292,135589.0,4026115.0,96,183005.0,807452.5208333334,1820951.655847568,9600.0,10712456.0,188,4670563.0,4939000.404255319,2025914.991034988,910959.0,11474044.0
R2DuplicationRate,59,31.94161054752485,34.06189157130628,23.075353257660176,1.8823529411764683,70.96395252283496,100,27.216014238599048,27.42704103482026,6.056421261380682,18.27496255235028,41.461356076734255,96,5.377480554362002,7.825669359605077,7.33908495163255,0.0,37.92582479072474,188,62.107811552524666,61.53913766269036,5.380859010130473,48.03726726368029,75.81125909316835
R2MappingRate,59,10.451461713600327,11.726277173073074,4.541994216480501,6.251993620414672,28.509309073681383,100,69.61973783717859,69.16509554273458,2.401683221686858,54.50226572037493,74.35230832030403,96,9.880073647096507,12.554402072261903,9.163039069719456,1.4470378898890517,45.46946987819735,188,68.22595144342745,67.74228851748398,6.966834810222037,1.380690568955711,78.56706183809531
R2MappingRateMapQ30,59,7.336552222829643,8.795209879405972,3.5039955808130823,5.103668261562999,22.03803008208908,100,60.91632970962286,60.598625807419346,2.2535722552719912,47.2550642471394,65.40339141800294,96,8.96637501241646,11.194643260525014,8.044439843917592,1.4247958970064896,40.42049332957881,188,60.95957648658781,60.559684405784004,6.254190458123864,1.1712916907202002,70.20306698031534
R2TrimmedReads,59,9277046.0,11143807.338983051,8575100.77258234,2883.0,33238203.0,100,1704288.5,1769818.76,820395.2500681648,135371.0,4027404.0,96,205278.0,869528.5729166666,1923247.0777689582,10833.0,11499521.0,188,4737275.0,4995306.781914894,2031206.1779046145,938878.0,11527228.0
TotalContacts,59,251531.0,570927.186440678,750576.4252981578,117.0,3081120.0,100,813082.0,815574.26,330355.98792268947,54347.0,1644768.0,96,16740.5,122974.71875,347416.7084664725,461.0,2071340.0,376,2831.0,610282.2686170213,706289.0548648607,0.0,3200577.0
TransContact,59,23611.0,27306.661016949154,20926.228739608567,5.0,89783.0,100,11717.5,12211.33,5280.999234065654,810.0,26068.0,96,1657.0,10597.895833333334,31580.450941242005,40.0,186311.0,188,35515.5,38070.72872340425,15595.167359778203,77.0,96055.0
TransRatio,59,0.0644210851145551,0.06803260201192872,0.03226062929013687,0.0284290681821546,0.1217980010333339,100,0.014868323307547,0.01498958324818049,0.0017419123239221445,0.0105194623385915,0.028047104049829,96,0.0877128105435501,0.08585188456893648,0.018065253803611656,0.0414179918627186,0.1502169197396963,188,0.03111568675801945,0.031393208993478416,0.004544072678456311,0.0135994348286824,0.0610836998806045
mCCCFrac,59,0.0191685004007697,0.02379308461809725,0.018579688287782222,0.0,0.0786062932880597,100,0.00659842127833355,0.006651524187102702,0.0010367816396612288,0.004443692540648,0.0089484066000334,96,0.0189377505925628,0.028407073299878433,0.03670294122352843,0.0036454140569943,0.3221660328171791,188,0.17714805403326928,0.17679568848222468,0.014988947576997877,0.0153606085726824,0.2090506420619586
mCGFrac,59,0.5727411944869831,0.5295696211970207,0.1658846712901834,0.1502726790060182,0.7405316091954023,100,0.7598343172949686,0.7618485773952957,0.026103826809930022,0.698504775405126,0.8118035803343497,96,0.5491072405183883,0.5530154804485348,0.023857777791098385,0.5186776490356749,0.6929007929159442,188,0.5488495713490078,0.5477323468642383,0.026260894829764906,0.481812694782827,0.7772721188595905
mCHFrac,59,0.0230674953659954,0.026705797404059543,0.018215379023322268,0.0070877437354603,0.0777102698765779,100,0.0239002492793727,0.023849730007816653,0.007544682693426443,0.0070178445924519,0.0423362611113277,96,0.025276977986883553,0.0377008215872063,0.04619457846984064,0.0046929645707921,0.3980609184454,188,0.1635975039126617,0.16398626833248586,0.014641914074441218,0.0156321290440324,0.2041423865399505
