CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
132	108	1728	5.88	1836
133	110	1740	5.95	1850
134	117	1746	6.28	1863
135	126	1734	6.77	1860
136	119	1711	6.50	1830
137	109	1632	6.26	1741
138	135	1710	7.32	1845
139	114	1677	6.37	1791
140	116	1658	6.54	1774
141	118	1623	6.78	1741
142	101	1681	5.67	1782
143	112	1636	6.41	1748
144	94	1649	5.39	1743
145	94	1504	5.88	1598

