dataset	sample	HCG_n	GCH_n
snmCseq3	SRR21549360	1566917	
snmCseq3	SRR21549361	1293213	
snmCseq3	SRR21549362	1305045	
snmCseq3	SRR21549363	1131418	
snmCseq3	SRR21549364	1268745	
snmCseq3	SRR21549365	1379070	
snmCseq3	SRR21549366	1342998	
snmCseq3	SRR21549367	1273751	
snmCseq3	SRR21549368	1174634	
snmCseq3	SRR21549369	1258894	
snmCseq3	SRR21549370	1034945	
snmCseq3	SRR21549371	1013887	
snmCseq3	SRR21549372	1185773	
snmCseq3	SRR21549373	1171446	
snmCseq3	SRR21549374	1242581	
snmCseq3	SRR21549375	1315691	
snmCseq3	SRR21549376	1020515	
snmCseq3	SRR21549377	1163929	
snmCseq3	SRR21549378	1052963	
snmCseq3	SRR21549379	824904	
snmCseq3	SRR21549380	1002788	
snmCseq3	SRR21549381	1042074	
snmCseq3	SRR21549382	1101544	
snmCseq3	SRR21549383	1007926	
snmCseq3	SRR21549384	678296	
snmCseq3	SRR21549385	986207	
snmCseq3	SRR21549386	920066	
snmCseq3	SRR21549387	924502	
snmCseq3	SRR21549388	1409282	
snmCseq3	SRR21549389	1267186	
snmCseq3	SRR21549390	202654	
snmCAT	SRR10470322	1353231	7499162
snmCAT	SRR10470323	1258730	7122205
snmCAT	SRR10470324	1122697	6223173
snmCAT	SRR10470325	1591437	8801465
snmCAT	SRR10470326	542511	3160695
snmCAT	SRR10470331	1295751	7159821
snmCAT	SRR10470332	1175377	6482479
snmCAT	SRR10470333	1556568	8574917
snmCAT	SRR10470334	799102	4325821
snmCAT	SRR10470335	1176371	7034985
snmCAT	SRR10470336	1938393	10642265
snmCAT	SRR10470337	1468164	8197495
snmCAT	SRR10470338	1234954	6690554
snmCAT	SRR10470339	1732693	9519250
snmCAT	SRR10470340	1483695	8214102
snmCAT	SRR10470341	1125139	6186418
snmCAT	SRR10470342	1305569	7236241
snmCAT	SRR10470343	1592273	8758075
snmCAT	SRR10470345	985135	5535287
snmCAT	SRR10470346	1388722	7501111
snmCAT	SRR10470350	1132375	6415903
snmCAT	SRR10470352	251678	1638706
snmCAT	SRR10470354	1277275	7041825
snmCAT	SRR10470355	766126	4153950
snmCAT	SRR10470360	1351753	7447287
snmCAT	SRR10470361	1292186	7144905
snmCAT	SRR10470362	1018519	5589751
snmCAT	SRR10470363	960561	5381905
snmCAT	SRR10470364	983802	5573675
snmCAT	SRR10470754	1108807	5976781
snmCAT	SRR10470755	1328264	7358380
snmCAT	SRR10470760	2062516	11303169
snmCAT	SRR10470764	1519515	8483123
snmCAT	SRR10470770	1032776	5675873
snmCAT	SRR10470775	1075617	5920651
snmCAT	SRR10470776	652134	3884858
snmCAT	SRR10470785	1490521	8122194
snmCAT	SRR10470786	1068765	5911747
snmCAT	SRR10470791	1406661	7764778
snmCAT	SRR10470796	1214185	6712278
snmCAT	SRR10470895	1375032	7674837
snmCAT	SRR10470897	1516140	8296605
snmCAT	SRR10470899	1297185	7107123
snmCAT	SRR10470900	1490063	8243425
snmCAT	SRR10470902	1675072	9233316
snmCAT	SRR10470905	1540534	8486046
snmCAT	SRR10470910	1691454	9344216
snmCAT	SRR10470911	1688402	9401536
snmCAT	SRR10470915	1456412	8106621
snmCAT	SRR10470918	1261885	6940646
snmCAT	SRR10470919	1454735	8010508
snmCAT	SRR10470923	1188242	6416997
snmCAT	SRR10470928	1231092	6809092
snmCAT	SRR10470929	1226816	6766316
snmCAT	SRR10470933	1383785	7616617
snmCAT	SRR10470934	1242935	6823775
snmCAT	SRR10470937	1024353	5762362
snmCAT	SRR10471376	871792	4856401
