dataset,cell,uniq_preDedup,uniq_postDedup,rate_preDedup,rate_postDedup
scnomehic,scNH_GM_4plex_33_S32.CGATGT,2142705,1256519,73.291,63.196
scnomehic,scNH_GM_4plex_42_S41.CGATGT,7032093,3541001,83.136,74.478
scnomehic,scNH_GM_4plex_24_S23.GCCAAT,9528289,3724752,76.694,60.02
scnomehic,scNH_GM_4plex_46_S45.ATCACG,4728196,2576752,78.926,69.57
scnomehic,scNH_GM_4plex_1_S1.TGACCA,3795417,1912604,69.849,57.001
scnomehic,scNH_GM_4plex_10_S9.TGACCA,8275600,3546321,80.57,67.896
scnomehic,scNH_GM_4plex_31_S30.CGATGT,3346457,1728752,79.512,69.56
scnomehic,scNH_GM_4plex_19_S18.TGACCA,2961848,1615312,74.419,63.647
scnomehic,scNH_GM_4plex_31_S30.GCCAAT,5941702,3107723,79.303,69.763
scnomehic,scNH_GM_4plex_44_S43.ATCACG,5472296,2942308,79.0,69.382
scnomehic,scNH_GM_4plex_21_S20.CGATGT,3080616,1527377,65.955,49.969
scnomehic,scNH_GM_4plex_36_S35.ATCACG,7225843,3586245,76.821,64.751
scnomehic,scNH_GM_4plex_1_S1.GCCAAT,4788868,2462666,68.12,54.817
scnomehic,scNH_GM_4plex_6_S5.ATCACG,2614573,1532168,67.075,55.041
scnomehic,scNH_GM_4plex_10_S9.CGATGT,3844836,1794096,69.584,53.009
scnomehic,scNH_GM_4plex_29_S28.ATCACG,4224256,2592369,79.265,71.955
scnomehic,scNH_GM_4plex_39_S38.GCCAAT,5193177,2804661,79.877,70.878
scnomehic,scNH_GM_4plex_16_S15.CGATGT,4674396,2231060,78.728,66.552
scnomehic,scNH_GM_4plex_18_S17.CGATGT,4425361,2190582,74.476,61.209
scnomehic,scNH_GM_4plex_48_S47.ATCACG,4875510,2767460,69.437,57.651
scnomehic,scNH_GM_4plex_34_S33.CGATGT,4043727,2109723,74.493,62.802
scnomehic,scNH_GM_4plex_5_S4.ATCACG,4011658,2234301,76.443,66.354
scnomehic,scNH_GM_4plex_15_S14.ATCACG,3104814,1781753,72.931,62.254
scnomehic,scNH_GM_4plex_4_S3.ATCACG,6349430,3046796,68.66,53.011
